name,school_type,address,campus_kind
백화고등학교,일반고등학교,전북특별자치도 장수군 장계면 백화로 4-31,-
부안고등학교,일반고등학교,전북특별자치도 부안군 부안읍 문정로 32,-
전북베이커리고등학교,특성화고등학교,전북특별자치도 부안군 행안면 춘헌길 1,-
부안여자고등학교,일반고등학교,전북특별자치도 부안군 부안읍 교동1길 54,-
서림고등학교,일반고등학교,전북특별자치도 부안군 부안읍 용암로 70-5,-
산서고등학교,일반고등학교,전북특별자치도 장수군 산서면 보산로 1852-6,-
수소에너지고등학교,특성화고등학교,전북특별자치도 완주군 삼례읍 삼례역로 41-1,-
상산고등학교,자율고등학교,전북특별자치도 전주시 완산구 거마평로 130,-
서영여자고등학교,일반고등학교,전북특별자치도 정읍시 명덕1길 66-10,-
설천고등학교,일반고등학교,전북특별자치도 무주군 설천면 하평지길 19,-
성원고등학교,일반고등학교,전북특별자치도 남원시 대복사길 41,-
성일고등학교,일반고등학교,전북특별자치도 익산시 황등면 화강암로 229,-
세인고등학교,특성화고등학교,전북특별자치도 완주군 화산면 화산로 1486,-
전주솔내고등학교,일반고등학교,전북특별자치도 전주시 덕진구 송천중앙로 170,-
순창고등학교,일반고등학교,전북특별자치도 순창군 순창읍 옥천로 67-14,-
순창제일고등학교,일반고등학교,전북특별자치도 순창군 순창읍 담순로 1411,-
신태인고등학교,일반고등학교,전북특별자치도 정읍시 신태인읍 서태길 108,-
안성고등학교,일반고등학교,전북특별자치도 무주군 안성면 구량천로 147,-
안천고등학교,일반고등학교,전북특별자치도 진안군 안천면 진무로 3071-9,-
여산고등학교,일반고등학교,전북특별자치도 익산시 여산면 가람로 465,-
전북인공지능고등학교,특성화고등학교,전북특별자치도 고창군 무장면 왕제산로 713,-
전북펫고등학교,특성화고등학교,전북특별자치도 임실군 오수면 충효로 2099-23,-
전주대학교사범대학부설고등학교,일반고등학교,전북특별자치도 전주시 완산구 천잠로 313,-
완산고등학교,일반고등학교,전북특별자치도 전주시 완산구 능안자구길 55,-
완산여자고등학교,특성화고등학교,전북특별자치도 전주시 완산구 덕적골1길 60,-
완주고등학교,일반고등학교,전북특별자치도 완주군 봉동읍 봉동로 172,-
왕신여자고등학교,일반고등학교,전북특별자치도 정읍시 신태인읍 정신로 1094,-
우석고등학교,일반고등학교,전북특별자치도 전주시 덕진구 쪽구름2길 22,-
전북여자고등학교,일반고등학교,전북특별자치도 전주시 덕진구 여산로 232,-
원광고등학교,일반고등학교,전북특별자치도 익산시 무왕로31길 139,-
